"BotWeak","BotWeak4","24","BotWeak","BotWeak2","11","BotStrong","BotStrong1","10","BotStrong","BotStrong3","9"
"BotStrong","BotStrong3","32","BotStrong","BotStrong1","20","BotWeak","BotWeak4","12","BotWeak","BotWeak2","9"
"BotWeak","BotWeak4","24","BotWeak","BotWeak2","19","BotStrong","BotStrong1","12","BotStrong","BotStrong3","7"
"BotWeak","BotWeak2","26","BotStrong","BotStrong1","14","BotWeak","BotWeak4","13","BotStrong","BotStrong3","13"
"BotWeak","BotWeak2","27","BotStrong","BotStrong3","20","BotStrong","BotStrong1","10","BotWeak","BotWeak4","9"
"BotStrong","BotStrong1","27","BotStrong","BotStrong3","23","BotWeak","BotWeak2","12","BotWeak","BotWeak4","10"
"BotStrong","BotStrong3","30","BotStrong","BotStrong1","27","BotWeak","BotWeak2","27","BotWeak","BotWeak4","16"
"BotWeak","BotWeak4","26","BotStrong","BotStrong1","21","BotStrong","BotStrong3","12","BotWeak","BotWeak2","12"
"BotStrong","BotStrong1","26","BotStrong","BotStrong3","19","BotWeak","BotWeak4","13","BotWeak","BotWeak2","11"
"BotWeak","BotWeak2","28","BotStrong","BotStrong1","20","BotWeak","BotWeak4","19","BotStrong","BotStrong3","14"
"BotStrong","BotStrong3","32","BotStrong","BotStrong1","20","BotWeak","BotWeak4","16","BotWeak","BotWeak2","6"
"BotStrong","BotStrong3","24","BotWeak","BotWeak4","12","BotStrong","BotStrong1","12","BotWeak","BotWeak2","8"
"BotStrong","BotStrong3","36","BotStrong","BotStrong1","20","BotWeak","BotWeak4","9","BotWeak","BotWeak2","8"
"BotStrong","BotStrong3","23","BotStrong","BotStrong1","14","BotWeak","BotWeak2","7","BotWeak","BotWeak4","5"
"BotStrong","BotStrong3","35","BotStrong","BotStrong1","16","BotWeak","BotWeak2","13","BotWeak","BotWeak4","8"
"BotWeak","BotWeak4","27","BotWeak","BotWeak2","20","BotStrong","BotStrong1","20","BotStrong","BotStrong3","13"
"BotStrong","BotStrong3","29","BotStrong","BotStrong1","26","BotWeak","BotWeak4","15","BotWeak","BotWeak2","14"
"BotStrong","BotStrong1","29","BotStrong","BotStrong3","19","BotWeak","BotWeak2","7","BotWeak","BotWeak4","2"
"BotStrong","BotStrong3","30","BotWeak","BotWeak2","17","BotWeak","BotWeak4","12","BotStrong","BotStrong1","10"
"BotWeak","BotWeak4","24","BotStrong","BotStrong3","19","BotStrong","BotStrong1","17","BotWeak","BotWeak2","11"
"BotWeak","BotWeak2","28","BotWeak","BotWeak4","9","BotStrong","BotStrong3","8","BotStrong","BotStrong1","5"
"BotWeak","BotWeak4","21","BotStrong","BotStrong1","18","BotStrong","BotStrong3","15","BotWeak","BotWeak2","4"
"BotStrong","BotStrong1","27","BotStrong","BotStrong3","17","BotWeak","BotWeak4","14","BotWeak","BotWeak2","14"
"BotWeak","BotWeak4","27","BotStrong","BotStrong3","18","BotWeak","BotWeak2","14","BotStrong","BotStrong1","8"
"BotWeak","BotWeak2","24","BotStrong","BotStrong1","21","BotWeak","BotWeak4","17","BotStrong","BotStrong3","14"
"BotStrong","BotStrong1","29","BotWeak","BotWeak4","27","BotStrong","BotStrong3","17","BotWeak","BotWeak2","11"
"BotWeak","BotWeak4","27","BotStrong","BotStrong1","25","BotWeak","BotWeak2","10","BotStrong","BotStrong3","7"
"BotStrong","BotStrong1","28","BotWeak","BotWeak2","24","BotWeak","BotWeak4","15","BotStrong","BotStrong3","14"
"BotWeak","BotWeak4","24","BotStrong","BotStrong3","20","BotStrong","BotStrong1","16","BotWeak","BotWeak2","10"
"BotStrong","BotStrong1","20","BotWeak","BotWeak2","13","BotStrong","BotStrong3","11","BotWeak","BotWeak4","5"
"BotStrong","BotStrong3","23","BotWeak","BotWeak4","18","BotWeak","BotWeak2","12","BotStrong","BotStrong1","12"
